TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2024,8,27,4,14,10XX GRANVILLE ST,Central Business District,491026.7242,5458475.645
Break and Enter Commercial,2024,6,27,9,12,10XX GRANVILLE ST,Central Business District,491029.6565,5458478.641
Break and Enter Commercial,2024,12,15,9,44,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.921
Break and Enter Commercial,2024,2,11,5,30,10XX HAMILTON ST,Central Business District,491198.2577,5458147.996
Break and Enter Commercial,2024,8,20,9,35,10XX HAMILTON ST,Central Business District,491228.7215,5458179.004
Break and Enter Commercial,2024,8,7,21,46,10XX HARO ST,West End,490899.2273,5458973.865
Break and Enter Commercial,2024,6,14,0,40,10XX HARWOOD ST,West End,490303.8863,5458470.57
Break and Enter Commercial,2024,11,19,4,41,10XX HARWOOD ST,West End,490303.8863,5458470.57
Break and Enter Commercial,2024,9,18,2,17,10XX HARWOOD ST,West End,490310.4099,5458476.978
Break and Enter Commercial,2024,12,13,7,4,10XX HOMER ST,Central Business District,491167.0929,5458201.759
Break and Enter Commercial,2024,4,9,17,30,10XX HOMER ST,Central Business District,491167.2767,5458188.892
Break and Enter Commercial,2024,3,27,10,4,10XX HOMER ST,Central Business District,491198.5704,5458233.834
Break and Enter Commercial,2024,3,27,15,15,10XX HOMER ST,Central Business District,491198.5704,5458233.834
Break and Enter Commercial,2024,8,12,18,30,10XX HOMER ST,Central Business District,491198.5704,5458233.834
Break and Enter Commercial,2024,8,28,10,18,10XX HOMER ST,Central Business District,491198.5704,5458233.834
Break and Enter Commercial,2024,9,5,1,46,10XX HOMER ST,Central Business District,491198.5704,5458233.834
Break and Enter Commercial,2024,1,4,15,7,10XX HORNBY ST,Central Business District,490833.289,5458565.054
Break and Enter Commercial,2024,7,20,16,20,10XX HORNBY ST,Central Business District,490834.1963,5458565.982
Break and Enter Commercial,2024,10,17,11,29,10XX HOWE ST,Central Business District,490869.6779,5458475.576
Break and Enter Commercial,2024,2,14,5,58,10XX HOWE ST,Central Business District,490889.5958,5458482.858
Break and Enter Commercial,2024,8,20,19,14,10XX HOWE ST,Central Business District,490912.2593,5458506.021
Break and Enter Commercial,2024,9,14,4,12,10XX LAGOON DR,Stanley Park,489317.118,5460043.104
Break and Enter Commercial,2024,5,4,4,35,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.026
Break and Enter Commercial,2024,5,5,14,15,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.026
Break and Enter Commercial,2024,5,13,22,21,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.026
Break and Enter Commercial,2024,9,25,11,45,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.026
Break and Enter Commercial,2024,1,24,4,57,10XX MARINASIDE CRES,Central Business District,491414.5679,5457873.024
Break and Enter Commercial,2024,1,26,16,22,10XX MARINASIDE CRES,Central Business District,491545.474,5457835.82
Break and Enter Commercial,2024,8,26,2,33,10XX NELSON ST,West End,490787.3166,5458775.13
Break and Enter Commercial,2024,6,3,3,30,10XX RICHARDS ST,Central Business District,491180.0977,5458345.923
Break and Enter Commercial,2024,3,26,20,32,10XX ROBSON ST,West End,491022.0625,5459007.594
Break and Enter Commercial,2024,7,25,20,28,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2024,3,18,17,45,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2024,3,20,3,0,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2024,5,14,2,50,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2024,6,8,20,50,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2024,7,2,9,20,10XX W 8TH AVE,Fairview,490648.9735,5456846.881
Break and Enter Commercial,2024,8,30,15,0,10XX W BROADWAY AVE,Fairview,490721.7869,5456752.077
Break and Enter Commercial,2024,12,17,0,0,10XX W BROADWAY AVE,Fairview,490731.1096,5456742.691
Break and Enter Commercial,2024,4,1,16,51,10XX W GEORGIA ST,West End,491128.3155,5459137.863
Break and Enter Commercial,2024,4,1,17,11,10XX W GEORGIA ST,West End,491128.3155,5459137.863
Break and Enter Commercial,2024,12,12,7,50,10XX W HASTINGS ST,Central Business District,491359.0894,5459440.162
Break and Enter Commercial,2024,5,4,11,4,10XX W HASTINGS ST,Central Business District,491463.2349,5459405.345
Break and Enter Commercial,2024,11,20,17,0,10XX W PENDER ST,Central Business District,491332.2968,5459374.751
Break and Enter Commercial,2024,11,25,0,0,10XX W PENDER ST,Central Business District,491332.2968,5459374.751
Break and Enter Commercial,2024,10,10,5,5,11XX BARCLAY ST,West End,490728.4014,5458982.008
Break and Enter Commercial,2024,1,8,1,0,11XX BARCLAY ST,West End,490751.7991,5458971.379
Break and Enter Commercial,2024,2,19,9,56,11XX BIDWELL ST,West End,489821.5559,5459300.2
Break and Enter Commercial,2024,2,9,3,30,11XX BROUGHTON ST,West End,490120.4144,5459031.022
Break and Enter Commercial,2024,12,14,22,14,11XX BURNABY ST,West End,490237.9535,5458687.551
Break and Enter Commercial,2024,5,31,4,30,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Break and Enter Commercial,2024,8,11,6,12,11XX COMMERCIAL DR,Grandview-Woodland,494935.803,5457925.347
Break and Enter Commercial,2024,1,27,4,8,11XX COMMERCIAL DR,Grandview-Woodland,494936.1012,5457953.283
Break and Enter Commercial,2024,5,29,4,8,11XX COMMERCIAL DR,Grandview-Woodland,494936.1012,5457953.283
Break and Enter Commercial,2024,9,21,4,22,11XX DAVIE ST,West End,490395.1231,5458703.076
Break and Enter Commercial,2024,1,31,4,30,11XX DAVIE ST,West End,490449.3018,5458647.801
Break and Enter Commercial,2024,4,26,4,47,11XX DAVIE ST,West End,490449.3018,5458647.801
Break and Enter Commercial,2024,12,14,11,28,11XX DENMAN ST,West End,489714.979,5459422.613
Break and Enter Commercial,2024,11,5,4,45,11XX DENMAN ST,West End,489805.7152,5459513.744
Break and Enter Commercial,2024,12,31,9,30,11XX E BROADWAY AVE,Mount Pleasant,494129.2655,5456626.894
Break and Enter Commercial,2024,4,3,4,34,11XX E GEORGIA ST,Strathcona,494090.2903,5458385.801
Break and Enter Commercial,2024,1,9,3,45,11XX E GEORGIA ST,Strathcona,494131.3232,5458384.787
Break and Enter Commercial,2024,3,15,1,20,11XX E GEORGIA ST,Strathcona,494131.3232,5458384.787
Break and Enter Commercial,2024,3,18,16,0,11XX E KENT AVE S,Sunset,493938.2067,5450640.475
Break and Enter Commercial,2024,7,28,23,18,11XX FRANKLIN ST,Strathcona,494162.8569,5458837.427
Break and Enter Commercial,2024,7,7,16,52,11XX GRANT ST,Strathcona,494207.007,5457637.014
Break and Enter Commercial,2024,8,2,0,38,11XX GRANT ST,Strathcona,494207.007,5457637.014
Break and Enter Commercial,2024,6,6,4,30,11XX GRANVILLE ST,Central Business District,490830.218,5458289.581
Break and Enter Commercial,2024,7,10,6,18,11XX GRANVILLE ST,Central Business District,490841.3229,5458287.779
Break and Enter Commercial,2024,4,18,5,30,11XX GRANVILLE ST,Central Business District,490853.6809,5458300.202
Break and Enter Commercial,2024,5,28,4,20,11XX GRANVILLE ST,Central Business District,490862.0554,5458321.587
Break and Enter Commercial,2024,7,31,8,31,11XX GRANVILLE ST,Central Business District,490879.1765,5458338.799
Break and Enter Commercial,2024,12,18,18,5,11XX HARO ST,West End,490761.4375,5459113.659
Break and Enter Commercial,2024,10,28,17,30,11XX HOMER ST,Central Business District,491104.8139,5458126.414
Break and Enter Commercial,2024,7,28,12,55,11XX HORNBY ST,Central Business District,490740.8735,5458469.754
Break and Enter Commercial,2024,3,10,20,0,11XX HORNBY ST,Central Business District,490751.6156,5458494.061
Break and Enter Commercial,2024,11,17,0,0,11XX HORNBY ST,Central Business District,490751.6156,5458494.061
Break and Enter Commercial,2024,7,30,14,32,11XX HORNBY ST,Central Business District,490790.5915,5458521.296
Break and Enter Commercial,2024,10,11,21,19,11XX HOWE ST,Central Business District,490759.735,5458364.115
Break and Enter Commercial,2024,5,13,5,25,11XX HOWE ST,Central Business District,490761.5547,5458365.959
Break and Enter Commercial,2024,3,4,5,39,11XX HOWE ST,Central Business District,490775.0164,5458366.579
Break and Enter Commercial,2024,12,15,22,0,11XX JERVIS ST,West End,490236.5276,5458948.405
Break and Enter Commercial,2024,8,16,17,0,11XX MAIN ST,Central Business District,492719.2532,5457948.257
Break and Enter Commercial,2024,8,20,2,55,11XX MAINLAND ST,Central Business District,491122.8016,5457994.624
Break and Enter Commercial,2024,12,30,23,30,11XX PACIFIC ST,West End,490184.9711,5458429.081
Break and Enter Commercial,2024,9,16,15,24,11XX PACIFIC ST,West End,490218.2236,5458408.677
Break and Enter Commercial,2024,1,10,7,0,11XX PACIFIC ST,West End,490221.3405,5458405.551
Break and Enter Commercial,2024,12,23,0,15,11XX PENDRELL ST,West End,490427.4323,5458813.693
Break and Enter Commercial,2024,5,19,10,51,11XX PENDRELL ST,West End,490439.0527,5458802.051
Break and Enter Commercial,2024,2,19,7,21,11XX PENDRELL ST,West End,490439.7327,5458801.369
Break and Enter Commercial,2024,5,11,9,45,11XX PENDRELL ST,West End,490439.7327,5458801.369
Break and Enter Commercial,2024,5,16,13,50,11XX PENDRELL ST,West End,490439.7327,5458801.369
Break and Enter Commercial,2024,11,18,0,0,11XX RICHARDS ST,Central Business District,491037.5648,5458203.051
Break and Enter Commercial,2024,1,16,15,19,11XX RICHARDS ST,Central Business District,491064.4841,5458243.068
Break and Enter Commercial,2024,6,6,4,14,11XX ROBSON ST,West End,490889.089,5459126.44
Break and Enter Commercial,2024,5,10,9,16,11XX SEYMOUR ST,Central Business District,490894.3286,5458208.134
Break and Enter Commercial,2024,7,13,23,46,11XX SEYMOUR ST,Central Business District,491002.2259,5458315.581
Break and Enter Commercial,2024,3,20,0,40,11XX STATION ST,Strathcona,492835.0141,5457933.896
Break and Enter Commercial,2024,7,19,20,30,11XX W 11TH AVE,Fairview,490559.0783,5456537.582
Break and Enter Commercial,2024,10,28,1,30,11XX W 13TH AVE,Fairview,490515.7407,5456328.726
Break and Enter Commercial,2024,2,28,10,0,11XX W 73RD AVE,Marpole,490280.8544,5450177.57
Break and Enter Commercial,2024,8,14,9,50,11XX W 8TH AVE,Fairview,490520.4662,5456859.318
Break and Enter Commercial,2024,9,30,1,15,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.115
Break and Enter Commercial,2024,2,27,11,29,11XX W GEORGIA ST,West End,490902.7314,5459360.6
Break and Enter Commercial,2024,2,19,22,30,11XX W GEORGIA ST,Central Business District,490915.2728,5459361.079
Break and Enter Commercial,2024,9,13,2,24,11XX W GEORGIA ST,Central Business District,490952.0114,5459324.875
Break and Enter Commercial,2024,6,13,23,58,11XX W PENDER ST,Central Business District,491056.0568,5459502.077
Break and Enter Commercial,2024,8,17,14,0,11XX W PENDER ST,Central Business District,491167.4271,5459461.499
Break and Enter Commercial,2024,6,22,23,15,12XX ALBERNI ST,West End,490741.3807,5459432.802
Break and Enter Commercial,2024,7,16,19,3,12XX ALBERNI ST,West End,490834.0469,5459342.892
Break and Enter Commercial,2024,3,26,2,44,12XX BARCLAY ST,West End,490568.5327,5459141.933
Break and Enter Commercial,2024,12,23,15,30,12XX BURNABY ST,West End,490160.1998,5458766.492
Break and Enter Commercial,2024,11,16,6,7,12XX BURRARD ST,West End,490592.6425,5458483.373
Break and Enter Commercial,2024,6,3,9,9,12XX COMMERCIAL DR,Grandview-Woodland,494944.2511,5457880.962
Break and Enter Commercial,2024,9,3,3,0,12XX COMOX ST,West End,490414.9988,5458979.438
Break and Enter Commercial,2024,11,14,10,15,12XX DAVIE ST,West End,490238.1647,5458848.052
Break and Enter Commercial,2024,6,14,18,0,12XX E 10TH AVE,Mount Pleasant,494336.8075,5456524.6
Break and Enter Commercial,2024,1,27,22,24,12XX E 7TH AVE,Mount Pleasant,494285.2755,5456838.718
Break and Enter Commercial,2024,5,14,5,40,12XX FRANCES ST,Strathcona,494264.9017,5458533.45
Break and Enter Commercial,2024,8,19,23,27,12XX FRANCES ST,Strathcona,494264.9017,5458533.45
Break and Enter Commercial,2024,9,4,12,40,12XX FRANCES ST,Strathcona,494264.9017,5458533.45
Break and Enter Commercial,2024,5,30,5,0,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2024,11,30,6,15,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2024,11,4,17,21,12XX GRANVILLE ST,Central Business District,490742.1811,5458199.544
Break and Enter Commercial,2024,1,17,17,45,12XX GRANVILLE ST,Central Business District,490759.7016,5458204.413
Break and Enter Commercial,2024,1,10,3,41,12XX GRANVILLE ST,Central Business District,490761.8872,5458219.753
Break and Enter Commercial,2024,1,11,3,45,12XX GRANVILLE ST,Central Business District,490761.8872,5458219.753
Break and Enter Commercial,2024,5,8,5,0,12XX HOMER ST,Central Business District,491030.8311,5458052.771
Break and Enter Commercial,2024,5,5,17,0,12XX HORNBY ST,Central Business District,490582.1086,5458308.109
Break and Enter Commercial,2024,9,13,10,32,12XX HORNBY ST,Central Business District,490584.7802,5458323.782
Break and Enter Commercial,2024,9,16,20,25,12XX HORNBY ST,Central Business District,490584.7802,5458323.782
Break and Enter Commercial,2024,1,16,17,0,12XX HORNBY ST,Central Business District,490589.2185,5458328.255
Break and Enter Commercial,2024,1,17,4,52,12XX HORNBY ST,Central Business District,490589.2185,5458328.255
Break and Enter Commercial,2024,4,7,1,59,12XX HORNBY ST,Central Business District,490589.2185,5458328.255
Break and Enter Commercial,2024,9,17,18,5,12XX HORNBY ST,Central Business District,490591.4377,5458330.491
Break and Enter Commercial,2024,1,27,0,55,12XX JERVIS ST,West End,490143.994,5458867.775
Break and Enter Commercial,2024,1,17,15,15,12XX MAIN ST,Central Business District,492717.8328,5457907.397
Break and Enter Commercial,2024,3,7,2,36,12XX MARINASIDE CRES,Central Business District,491268.6824,5457797.02
Break and Enter Commercial,2024,4,14,1,20,12XX NELSON ST,West End,490491.9116,5459056.51
Break and Enter Commercial,2024,5,10,13,24,12XX NELSON ST,West End,490491.9116,5459056.51
Break and Enter Commercial,2024,3,26,19,0,12XX NELSON ST,West End,490492.7716,5459055.642
Break and Enter Commercial,2024,6,2,2,30,12XX NELSON ST,West End,490492.7716,5459055.642
Break and Enter Commercial,2024,9,12,5,55,12XX NELSON ST,West End,490492.7716,5459055.642
Break and Enter Commercial,2024,8,7,3,36,12XX PENDRELL ST,West End,490316.3341,5458934.264
Break and Enter Commercial,2024,2,29,6,19,12XX RICHARDS ST,Central Business District,490851.8218,5458026.639
Break and Enter Commercial,2024,7,2,20,51,12XX SEYMOUR ST,Central Business District,490827.8822,5458141.092
Break and Enter Commercial,2024,9,27,12,55,12XX VENABLES ST,Strathcona,494331.5315,5458231.278
Break and Enter Commercial,2024,10,4,12,15,12XX VENABLES ST,Strathcona,494331.5315,5458231.278
Break and Enter Commercial,2024,2,2,4,0,12XX W 6TH AVE,Fairview,490355.222,5457038.59
Break and Enter Commercial,2024,1,22,8,2,12XX W 73RD AVE,Marpole,490272.8824,5450168.473
Break and Enter Commercial,2024,1,12,7,21,12XX W 73RD AVE,Marpole,490276.1627,5450168.377
Break and Enter Commercial,2024,3,6,18,0,12XX W 7TH AVE,Fairview,490370.4277,5456946.667
Break and Enter Commercial,2024,11,1,12,0,12XX W GEORGIA ST,Central Business District,490844.3619,5459431.344
Break and Enter Commercial,2024,9,15,16,0,12XX W GEORGIA ST,Central Business District,490844.865,5459430.845
Break and Enter Commercial,2024,2,26,15,14,12XX W HASTINGS ST,Central Business District,491023.488,5459585.814
Break and Enter Commercial,2024,3,26,16,15,12XX W HASTINGS ST,Central Business District,491064.3753,5459576.872
Break and Enter Commercial,2024,2,8,17,30,12XX W PENDER ST,Central Business District,490899.0425,5459585.158
Break and Enter Commercial,2024,2,9,7,37,12XX W PENDER ST,Central Business District,490899.0425,5459585.158
Break and Enter Commercial,2024,6,13,21,53,13XX BURRARD ST,Central Business District,490410.3314,5458289.382
Break and Enter Commercial,2024,11,12,4,26,13XX BURRARD ST,West End,490439.965,5458331.999
Break and Enter Commercial,2024,10,16,5,40,13XX BUTE ST,West End,490171.0339,5458653.422
Break and Enter Commercial,2024,12,20,0,0,13XX BUTE ST,West End,490171.0339,5458653.422
Break and Enter Commercial,2024,8,8,22,0,13XX CARDERO ST,West End,489766.6902,5459025.408
Break and Enter Commercial,2024,10,8,22,2,13XX CLARK DR,Strathcona,494371.0451,5457790.781
Break and Enter Commercial,2024,6,3,3,32,13XX COMMERCIAL DR,Grandview-Woodland,494933.7777,5457806.3
Break and Enter Commercial,2024,3,12,10,30,13XX CONTINENTAL ST,Central Business District,490630.0559,5458164.061
Break and Enter Commercial,2024,11,5,6,0,13XX CONTINENTAL ST,Central Business District,490630.4225,5458164.975
Break and Enter Commercial,2024,5,22,22,29,13XX CONTINENTAL ST,Central Business District,490638.5428,5458160.657
Break and Enter Commercial,2024,1,16,11,35,13XX DAVIE ST,West End,490174.5554,5458923.745
Break and Enter Commercial,2024,5,31,5,45,13XX DAVIE ST,West End,490184.2164,5458914.114
Break and Enter Commercial,2024,12,27,15,30,13XX E 1ST AVE,Grandview-Woodland,494446.5098,5457438.603
Break and Enter Commercial,2024,3,8,23,0,13XX E 33RD AVE,Kensington-Cedar Cottage,494423.2344,5454167.084
Break and Enter Commercial,2024,4,20,4,20,13XX E 41ST AVE,Kensington-Cedar Cottage,494300.1233,5453338.016
Break and Enter Commercial,2024,4,8,15,7,13XX E 8TH AVE,Grandview-Woodland,494455.1886,5456726.574
Break and Enter Commercial,2024,10,28,7,58,13XX E HASTINGS ST,Grandview-Woodland,494417.2723,5458739.246
Break and Enter Commercial,2024,4,9,5,25,13XX E KENT AVE N,Sunset,494282.4885,5450726.173
Break and Enter Commercial,2024,4,4,20,42,13XX E PENDER ST,Grandview-Woodland,494407.2244,5458629.712
Break and Enter Commercial,2024,4,22,3,0,13XX E PENDER ST,Grandview-Woodland,494407.2244,5458629.712
Break and Enter Commercial,2024,8,7,23,10,13XX E PENDER ST,Grandview-Woodland,494407.2244,5458629.712
Break and Enter Commercial,2024,11,28,6,15,13XX E PENDER ST,Grandview-Woodland,494407.2244,5458629.712
Break and Enter Commercial,2024,9,5,7,0,13XX FRANCES ST,Grandview-Woodland,494390.4192,5458531.104
Break and Enter Commercial,2024,8,12,19,4,13XX FRANCES ST,Grandview-Woodland,494392.5692,5458531.059
Break and Enter Commercial,2024,9,7,4,30,13XX GRANVILLE ST,Central Business District,490689.089,5458145.904
Break and Enter Commercial,2024,10,5,23,20,13XX GRANVILLE ST,Central Business District,490689.089,5458145.904
Break and Enter Commercial,2024,5,17,22,30,13XX HOMER ST,Central Business District,490841.379,5457836.913
Break and Enter Commercial,2024,9,3,19,3,13XX HORNBY ST,Central Business District,490528.5106,5458254.894
Break and Enter Commercial,2024,2,15,19,30,13XX HOWE ST,Central Business District,490566.5114,5458170.386
Break and Enter Commercial,2024,9,13,8,0,13XX HOWE ST,Central Business District,490608.4706,5458212.409
Break and Enter Commercial,2024,1,15,3,25,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494311.1698,5455398.479
Break and Enter Commercial,2024,4,16,5,43,13XX RICHARDS ST,Central Business District,490833.7723,5457995.689
Break and Enter Commercial,2024,6,28,0,0,13XX RICHARDS ST,Central Business District,490833.7723,5457995.689
Break and Enter Commercial,2024,4,3,2,49,13XX RICHARDS ST,Central Business District,490835.981,5457997.862
Break and Enter Commercial,2024,4,20,0,34,13XX RICHARDS ST,Central Business District,490835.981,5457997.862
Break and Enter Commercial,2024,5,23,23,43,13XX RICHARDS ST,Central Business District,490835.981,5457997.862
Break and Enter Commercial,2024,3,19,1,30,13XX SEYMOUR ST,Central Business District,490698.7462,5457992.9
Break and Enter Commercial,2024,3,28,4,0,13XX SEYMOUR ST,Central Business District,490731.994,5458024.354
Break and Enter Commercial,2024,9,12,21,5,13XX W 70TH AVE,Marpole,490142.3312,5450653.037
Break and Enter Commercial,2024,10,15,17,0,13XX W 8TH AVE,Fairview,490128.1728,5456868.375
Break and Enter Commercial,2024,1,26,5,0,13XX W BROADWAY AVE,Fairview,490213.1361,5456765.466
Break and Enter Commercial,2024,4,11,4,0,13XX W BROADWAY AVE,Fairview,490213.1376,5456765.469
Break and Enter Commercial,2024,4,15,4,20,14XX ADANAC ST,Grandview-Woodland,494585.6015,5458318.719
Break and Enter Commercial,2024,11,9,2,41,14XX BURNABY ST,West End,489973.7858,5458950.832
Break and Enter Commercial,2024,12,29,3,30,14XX CARTWRIGHT ST,Fairview,490106.5517,5457539.966
Break and Enter Commercial,2024,9,27,2,0,14XX CHESTNUT ST,Kitsilano,489351.4328,5457870.294
Break and Enter Commercial,2024,2,12,3,35,14XX CONTINENTAL ST,Central Business District,490494.7193,5457981.01
Break and Enter Commercial,2024,3,25,8,0,14XX CONTINENTAL ST,Central Business District,490494.7193,5457981.01
Break and Enter Commercial,2024,12,24,16,16,14XX DAVIE ST,West End,490020.1087,5459075.498
Break and Enter Commercial,2024,9,12,11,16,14XX E 1ST AVE,Grandview-Woodland,494561.631,5457437.26
Break and Enter Commercial,2024,10,21,18,0,14XX E GEORGIA ST,Grandview-Woodland,494503.494,5458428.307
Break and Enter Commercial,2024,5,31,5,30,14XX E HASTINGS ST,Grandview-Woodland,494501.9083,5458728.541
Break and Enter Commercial,2024,8,30,6,52,14XX E HASTINGS ST,Grandview-Woodland,494588.6352,5458736.089
Break and Enter Commercial,2024,2,19,12,15,14XX E HASTINGS ST,Grandview-Woodland,494592.7539,5458736.013
Break and Enter Commercial,2024,3,23,5,18,14XX E KING EDWARD AVE,Kensington-Cedar Cottage,494477.5646,5455089.538
Break and Enter Commercial,2024,9,5,7,0,14XX FRANCES ST,Grandview-Woodland,494594.5596,5458526.831
Break and Enter Commercial,2024,11,9,0,39,14XX FRANCES ST,Grandview-Woodland,494594.5596,5458526.831
Break and Enter Commercial,2024,2,13,8,0,14XX GRANT ST,Grandview-Woodland,494546.8223,5457641.587
Break and Enter Commercial,2024,8,21,15,49,14XX HARO ST,West End,490453.7585,5459417.277
Break and Enter Commercial,2024,11,1,13,0,14XX MARPOLE AVE,Fairview,489950.6298,5456068.742
Break and Enter Commercial,2024,1,28,3,37,14XX QUEBEC ST,Central Business District,492586.5863,5457740.93
Break and Enter Commercial,2024,12,16,6,42,14XX ROBSON ST,West End,490513.4742,5459500.635
Break and Enter Commercial,2024,2,21,14,53,14XX STRATHMORE MEWS,Central Business District,490775.3821,5457825.156
Break and Enter Commercial,2024,5,28,3,36,14XX VENABLES ST,Grandview-Woodland,494585.2595,5458226.29
Break and Enter Commercial,2024,10,18,15,15,14XX VENABLES ST,Grandview-Woodland,494585.2595,5458226.29
Break and Enter Commercial,2024,5,7,14,15,14XX VENABLES ST,Grandview-Woodland,494587.327,5458226.252
Break and Enter Commercial,2024,6,20,14,59,14XX VENABLES ST,Grandview-Woodland,494587.327,5458226.252
Break and Enter Commercial,2024,12,11,4,0,14XX W 12TH AVE,Fairview,489973.9462,5456460.287
Break and Enter Commercial,2024,1,5,0,0,14XX W 6TH AVE,Fairview,489955.0133,5457059.887
Break and Enter Commercial,2024,3,11,0,0,14XX W 6TH AVE,Fairview,489955.0133,5457059.887
Break and Enter Commercial,2024,7,31,5,0,14XX W 6TH AVE,Fairview,490047.3281,5457048.574
Break and Enter Commercial,2024,12,1,2,0,14XX W 73RD AVE,Marpole,489885.107,5450296.657
Break and Enter Commercial,2024,11,11,6,30,14XX W 8TH AVE,Fairview,489987.3332,5456872.086
Break and Enter Commercial,2024,8,15,10,38,14XX W BROADWAY AVE,Fairview,490043.381,5456760.618
Break and Enter Commercial,2024,8,29,13,54,14XX W GEORGIA ST,Central Business District,490664.9304,5459609.294
Break and Enter Commercial,2024,3,25,4,50,14XX W PENDER ST,Central Business District,490623.4453,5459709.503
Break and Enter Commercial,2024,8,25,12,5,15XX BARCLAY ST,West End,490266.5416,5459439.291
Break and Enter Commercial,2024,7,18,17,22,15XX BARCLAY ST,West End,490266.5758,5459439.258
Break and Enter Commercial,2024,9,4,5,37,15XX BARCLAY ST,West End,490266.5758,5459439.258
Break and Enter Commercial,2024,11,13,0,0,15XX BEACH AVE,West End,489712.3602,5458916.555
Break and Enter Commercial,2024,1,4,21,1,15XX CLARK DR,Grandview-Woodland,494378.3972,5457618.945
Break and Enter Commercial,2024,7,22,8,39,15XX COMOX ST,West End,490133.0751,5459271.047
